Clock	Heat	Temp
347	0	48.9
348	0	49.1
349	0	49.1
350	0	49.0
351	0	49.0
352	0	48.9
353	0	49.1
354	0	48.9
355	0	48.9
356	0	48.9
357	1	48.7
358	0	48.8
359	0	48.9
360	0	48.8
361	0	49.1
362	0	48.9
363	0	49.2
364	0	49.4
365	0	49.2
366	0	49.3
367	0	49.7
368	0	49.6
369	0	49.5
370	0	49.4
371	0	49.5
372	0	49.5
373	0	49.7
374	0	49.5
375	0	49.6
376	0	49.5
377	0	49.3
378	1	49.5
379	0	49.3
380	0	49.3
381	0	49.5
382	0	49.6
383	0	49.8
384	0	49.9
385	0	49.9
386	0	50.1
387	0	50.1
388	0	50.3
389	0	50.1
